Designator,Mid X,Mid Y,Rotation,Layer
C1,298.48,-54.41,0.0,top
C10,199.4,-112.05,0.0,top
C100,170.1501,-119.392,0.0,top
C104,112.162551,-88.788,180.0,top
C105,106.2101,-199.602,0.0,top
C106,109.02,-205.19,180.0,top
C107,112.668,-67.6201,270.0,top
C11,194.29,-134.96,0.0,top
C12,162.15,-53.56,180.0,top
C13,154.77,-56.85,0.0,top
C14,154.67,-64.5,0.0,top
C15,162.25,-81.58,180.0,top
C16,132.47,-53.92,180.0,top
C17,124.89,-53.76,0.0,top
C18,126.16,-67.02,0.0,top
C19,132.16,-81.78,180.0,top
C2,298.45,-95.65,0.0,top
C20,132.03,-137.25,0.0,top
C21,103.79,-138.42,180.0,top
C22,132.27,-109.22,0.0,top
C3,298.34,-137.05,0.0,top
C4,264.1,-52.64,0.0,top
C46,303.175,-178.55,0.0,top
C47,143.37715,-109.98405,0.0,top
C49,303.125,-187.325,180.0,top
C5,264.1,-109.74,0.0,top
C50,288.425,-182.325,180.0,top
C51,303.35,-80.9,0.0,top
C58,311.6501,-202.092,0.0,top
C6,263.79,-150.09,0.0,top
C64,115.4,-153.75,0.0,top
C7,229.47,-52.53,0.0,top
C8,226.65,-137.51,0.0,top
C9,194.42,-53.69,0.0,top
D1,263.85,-203.8,270.0,top
D10,243.45,-203.8,270.0,top
D12,105.25,-206.95,0.0,top
D13,284.36,-154.9,90.0,top
D3,246.0,-203.8,270.0,top
D4,248.55,-203.8,270.0,top
D5,258.75,-203.8,270.0,top
D6,253.65,-203.8,270.0,top
D7,256.2,-203.8,270.0,top
D8,261.3,-203.8,270.0,top
D9,251.1,-203.8,270.0,top
J1,122.14,-61.51,180.0,top
J10,169.45,-160.468,270.0,top
J100,281.35,-208.25,0.0,top
J11,171.93,-160.468,90.0,top
J12,244.85,-168.842,270.0,top
J13,319.55,-103.323,90.0,top
J14,319.55,-108.46,90.0,top
J15,295.93,-179.587,90.0,top
J16,293.36,-179.587,270.0,top
J17,223.9,-94.85425,90.0,top
J2,122.08,-58.85,180.0,top
J3,118.18,-64.18,180.0,top
J4,183.613,-56.82,0.0,top
J5,118.19,-66.81,180.0,top
J6,166.81,-141.63,90.0,top
J7,169.286666,-141.642,270.0,top
J8,171.763332,-141.642,270.0,top
J9,174.24,-141.642,90.0,top
L1,287.35,-64.45,90.0,top
LS1,219.41,-54.4,180.0,top
P1,96.29,-62.5,270.0,top
P2,146.55,-212.0,90.0,top
P3,230.75,-214.0,270.0,top
P5,293.6,-192.0,90.0,top
Q1,283.6,-53.62,180.0,top
Q2,303.275,-182.975,180.0,top
Q3,124.2,-118.2,180.0,top
Q5,111.84,-197.74,90.0,top
Q6,111.76965,-181.26,90.0,top
Q7,215.65,-62.95,180.0,top
Q8,109.915,-189.88,90.0,top
Q9,109.6,-172.65,90.0,top
R1,285.5,-98.85,270.0,top
R10,223.9,-84.5,270.0,top
R12,288.0,-167.3,90.0,top
R16,322.1,-73.2365,270.0,top
R169,105.664,-196.85,0.0,top
R17,322.1,-88.2365,270.0,top
R171,106.934,-178.689,180.0,top
R18,115.0865,-157.75,0.0,top
R19,116.1635,-161.45,180.0,top
R2,109.2,-147.1135,90.0,top
R21,123.7,-192.8635,90.0,top
R22,126.025,-192.8635,90.0,top
R23,111.06325,-116.81025,180.0,top
R24,116.1365,-166.35,0.0,top
R25,116.1635,-163.9,180.0,top
R26,171.05,-109.95,0.0,top
R27,171.1635,-112.45,180.0,top
R28,180.55,-186.6365,270.0,top
R29,188.2,-186.6365,270.0,top
R3,116.8865,-138.85,0.0,top
R30,183.3,-186.6365,270.0,top
R31,185.65,-186.6365,270.0,top
R32,178.025,-186.6365,270.0,top
R33,165.4,-186.6365,270.0,top
R34,175.5,-186.6365,270.0,top
R35,172.975,-186.6365,270.0,top
R36,170.45,-186.6365,270.0,top
R37,167.925,-186.6365,270.0,top
R38,128.35,-192.8635,90.0,top
R4,122.1,-148.8865,270.0,top
R40,314.3885,-187.6,180.0,top
R41,292.0115,-187.25,0.0,top
R42,292.0115,-184.925,0.0,top
R43,320.6,-168.5115,270.0,top
R44,267.4635,-163.4,180.0,top
R45,254.3,-59.25,90.0,top
R46,110.998,-120.142,0.0,top
R47,107.72955,-122.682,180.0,top
R5,284.9115,-122.775,0.0,top
R60,123.3,-128.7865,270.0,top
R61,302.0,-207.5,270.0,top
R65,299.4,-207.5,90.0,top
R66,298.6635,-198.65,180.0,top
R67,206.7365,-52.9,0.0,top
R68,115.2,-193.8865,270.0,top
R69,117.7,-194.1,270.0,top
R70,115.07,-177.8,90.0,top
R71,117.6,-177.8,270.0,top
R72,108.34,-202.34,180.0,top
R73,217.0,-77.0635,90.0,top
R74,214.35,-77.0635,90.0,top
R8,289.9,-108.65,0.0,top
R9,305.2635,-108.85,180.0,top
T2,91.9296,-119.79,90.0,top
T3,98.8565,-145.255,90.0,top
T4,98.8565,-158.188333,90.0,top
T5,98.8565,-171.121666,90.0,top
T6,98.8565,-184.055,90.0,top
T7,91.9296,-88.16,90.0,top
TP1,317.55,-128.48,180.0,top
TP10,319.97,-75.25,90.0,top
TP3,284.56,-84.6,0.0,top
TP4,183.62,-65.79,0.0,top
TP6,284.54,-150.39,0.0,top
TP7,287.97,-84.59,180.0,top
TP8,318.12,-67.3,0.0,top
TP9,322.11,-98.49,270.0,top
U10,303.51295,-129.59275,90.0,top
U11,303.51295,-102.20845,90.0,top
U12,303.5,-88.25,90.0,top
U13,303.51295,-60.77465,90.0,top
U14,235.62735,-74.42715,90.0,top
U15,235.62735,-60.45715,90.0,top
U16,270.15,-156.35,90.0,top
U17,203.03,-171.50285,90.0,top
U18,303.51295,-115.86095,90.0,top
U19,303.35,-157.25,90.0,top
U2,270.4,-129.85,90.0,top
U20,235.62735,-101.89095,90.0,top
U21,270.47295,-60.45715,90.0,top
U22,200.62295,-88.4,90.0,top
U23,200.62295,-102.12905,90.0,top
U24,203.03,-185.31415,90.0,top
U25,303.59235,-74.50655,90.0,top
U26,235.62735,-88.31785,90.0,top
U27,200.62295,-74.34785,90.0,top
U28,203.17295,-143.96,90.0,top
U29,220.895,-122.405,90.0,top
U3,270.23485,-143.64215,90.0,top
U30,203.03,-157.37415,90.0,top
U31,115.61745,-146.42025,90.0,top
U33,303.45,-143.65,90.0,top
U34,200.62295,-60.45725,90.0,top
U35,235.47855,-144.0,90.0,top
U36,138.55175,-129.91035,90.0,top
U37,137.35,-116.2,90.0,top
U38,163.6,-130.0,90.0,top
U39,146.09735,-147.605,90.0,top
U4,270.47295,-102.04975,90.0,top
U40,146.1,-168.86,90.0,top
U41,235.47855,-157.37415,90.0,top
U42,168.635,-102.20845,90.0,top
U43,168.635,-88.31785,90.0,top
U44,168.635,-74.5,90.0,top
U45,168.635,-60.53655,90.0,top
U46,138.63105,-102.20845,90.0,top
U47,138.55175,-88.47655,90.0,top
U48,138.6,-74.5,90.0,top
U49,138.71045,-60.53655,90.0,top
U5,303.2,-170.95,90.0,top
U50,232.92855,-171.26475,90.0,top
U51,270.39355,-88.23845,90.0,top
U52,270.47295,-74.42715,90.0,top
U6,269.865,-170.07405,90.0,top
U7,269.865,-182.47,90.0,top
U8,235.24045,-185.15535,90.0,top
U9,269.15,-116.1,90.0,top
Y1,313.8,-181.11,90.0,top
